Method,mean ± std,unit
SBA,67.7386 ± 0.0000, (×10^{-3})
SAS,60.5240 ± 0.0000, (×10^{-3})
LG,39.3774 ± 0.0000, (×10^{-3})
MC,37.4440 ± 0.0000, (×10^{-3})
USVT,42.1377 ± 0.0000, (×10^{-3})
SGWB,18.8764 ± 0.0000, (×10^{-3})
SIGL,22.9286 ± 0.0000, (×10^{-3})
JGS,20.5803 ± 0.0000, (×10^{-3})
JGS_smooth,20.6836 ± 0.0000, (×10^{-3})
SBA_Time,10.1631 ± 0.0000, (×10^{-3})
SAS_Time,3.3755 ± 0.0000, (×10^{-3})
LG_Time,15.9087 ± 0.0000, (×10^{-3})
MC_Time,1.6670 ± 0.0000, (×10^{-3})
USVT_Time,0.8302 ± 0.0000, (×10^{-3})
SGWB_Time,21.5797 ± 0.0000, (×10^{-3})
SIGL_Time,0.6038 ± 0.0000,
JGS_Time,0.8602 ± 0.0000, (×10^{-3})
